DEPT_CD,AGENCY,MEASURE_ID,MEASURE_NAME,KEY_PERFORMANCE,DIV_CD,PROGRAM_NAME,GP_CD,ACTIVITY_NAME,MEASURE_TYPE_NAME,DATA_SOURCE,FREQUENCY_NAME,CFY
AE,1100,7439,Power Supply Expense,0,5FUL,Fuel & ERCOT Recoverable,5FGC,Fuel & ERCOT Recoverable,Efficiency,Energy and Market Operations data.,Annually,2016
AE,1100,8477,Capacity Factor for South Texas Project (STP),0,1PSM,Power Supply & Market Operations,1NCG,Nuclear and Coal Plants Operating,Efficiency,Data reports provided to Austin Energy from the South Texas Nuclear Plant Operating Company STPNOC.,Annually,2016
AE,1100,7396,Equivalent Availability Factor (EAF) of the Fayette Power Plant,0,1PSM,Power Supply & Market Operations,1NCG,Nuclear and Coal Plants Operating,Efficiency,Fayette Power Plant staff,Annually,2016
AE,1100,7394,Intermediate/Peaking Peak Season Equivalent Availability Factor (EAF),0,1PSM,Power Supply & Market Operations,1GEN,Power Production,Efficiency,FPP and STP operations reports,Annually,2016
AE,1100,7954,Emissions by Plant,0,1PSM,Power Supply & Market Operations,1GEN,Power Production,Output,"Emissions reports from each of the AE owned plants Decker, Sand Hill and co owned plants Fayette Power Project and South Texas Nuclear Plant",Annually,2016
AE,1100,7602,Heat Rate,1,1PSM,Power Supply & Market Operations,1GEN,Power Production,Efficiency,"Fuel purchases provided by AE Energy Market Operations data and net system kilowatt-hour (kWH) of electricity generated provided by each plant, Decker, Sand Hill, South Texas Project and Fayette Power Plant.  Includes purchased power agreement data.",Annually,2016
AE,1100,7615,Production Cost,0,1PSM,Power Supply & Market Operations,1GEN,Power Production,Output,Actual operations and maintenance costs per DXR year end data.  Actual generation sales per AE Energy and Market Operation data as well as Fayette Power Plant and South Texas Nuclear Plant data.,Annually,2016
AE,1100,7411,Number of employee injuries,0,9MGT,Support Services,9ADM,Departmental Support Services,Output,,Quarterly,2016
AE,1100,7409,"Percent of under $5,000 competitive procurement awards to certified MBE vendors",0,9MGT,Support Services,9ADM,Departmental Support Services,Result,,Quarterly,2016
AE,1100,7410,"Percent of under $5,000 competitive procurement awards to certified WBE vendors",0,9MGT,Support Services,9ADM,Departmental Support Services,Output,,Quarterly,2016
AE,1100,7446,Credit rating for separate-lien electric utility system revenue bonds,1,9MGT,Support Services,9ADM,Departmental Support Services,Result,Standard & Poors rating agency reports,Annually,2016
AE,1100,7437,Customer Satisfaction Index,1,9MGT,Support Services,9ADM,Departmental Support Services,Efficiency,American Customer Satisfaction Index results,Annually,2016
AE,1100,7408,Lost Time Injury Rate,0,9MGT,Support Services,9ADM,Departmental Support Services,Result,"Injury data is generated from entries made by department personnel into a claims database provided by the City's third party administrator (currently known as the "David System"). Actual hours worked is from the productive/overtime report generated by Banner, the City's human resource information system.",Quarterly,2016
AE,1100,7407,Sick Leave Utilization Rate,0,9MGT,Support Services,9ADM,Departmental Support Services,Result,"Entries made by department personnel into Banner, the City's Human Resources Information System.",Quarterly,2016
AE,1100,7406,Turnover Rate,0,9MGT,Support Services,9ADM,Departmental Support Services,Result,"Entries made by department personnel into Banner, the City's Human Resources Information System.",Quarterly,2016
ANML,9200,8289,Number of Rabies Vaccinations Administered to Owned Animals in the Community,0,2ANL,Animal Services Office,2FDS,Field Services,Output,Chameleon,Quarterly,2016
ANML,9200,7788,Percent response to priority calls completed,0,2ANL,Animal Services Office,2FDS,Field Services,Result,Shelter Management System (Chameleon),Quarterly,2016
ANML,9200,1838,Number of animals sterilized in the community,1,2ANL,Animal Services Office,2PRV,Prevention Services,Output,Third Party Contractor,Monthly,2016
ANML,9200,8415,Shelter intake per capita,1,2ANL,Animal Services Office,2PRV,Prevention Services,Result,Chameleon,Annually,2016
ANML,9200,8406,Number of animals returned to owner,0,2ANL,Animal Services Office,2SPP,Shelter Services,Output,Chameleon,Monthly,2016
ANML,9200,8408,Number of animals sheltered,0,2ANL,Animal Services Office,2SPP,Shelter Services,Output,Chameleon,Monthly,2016
ANML,9200,1851,Number of volunteer hours,0,2ANL,Animal Services Office,2SPP,Shelter Services,Output,Off-site adoption hours are reported by TLAC volunteer.  On-site hours are from sign-in and sign-out logs.,Monthly,2016
ANML,9200,8271,% of animals adopted that were spayed/neutered out of all adoptions eligible to be spayed/neutered,0,2ANL,Animal Services Office,2SPP,Shelter Services,Result,"Adoption, spay/neuter, and birth dates stored in SQL Server database, queried to find percentage of compliance",Monthly,2016
ANML,9200,1848,Number of animals adopted,0,2ANL,Animal Services Office,2SPP,Shelter Services,Output,Shelter Management System (Chameleon),Monthly,2016
ANML,9200,8410,Number of companion animals sheltered,0,2ANL,Animal Services Office,2SPP,Shelter Services,Output,Chameleon,Monthly,2016
ANML,9200,1850,Number of spay/neuters performed at the Animal Center,1,2ANL,Animal Services Office,2SPP,Shelter Services,Output,Shelter Management System (Chameleon).,Monthly,2016
ANML,9200,8409,Percent of shelter live outcomes,1,2ANL,Animal Services Office,2SPP,Shelter Services,Result,Chameleon,Annually,2016
ANML,9200,7778,Percent of sheltered animals adopted,0,2ANL,Animal Services Office,2SPP,Shelter Services,Result,Shelter Management System (Chameleon).,Monthly,2016
ANML,9200,7781,Percent of sheltered animals euthanized,0,2ANL,Animal Services Office,2SPP,Shelter Services,Result,Shelter Management System (Chameleon),Monthly,2016
ANML,9200,8411,Percent of sheltered animals returned-to-owner,1,2ANL,Animal Services Office,2SPP,Shelter Services,Result,Chameleon,Monthly,2016
ANML,9200,7779,Percent of sheltered animals transferred to partners,0,2ANL,Animal Services Office,2SPP,Shelter Services,Result,Shelter Management System (Chameleon),Monthly,2016
ANML,9200,1849,Total number of animals euthanized,0,2ANL,Animal Services Office,2SPP,Shelter Services,Output,Shelter Management System (Chameleon),Monthly,2016
ANML,9200,7904,"% of under 5,000 competitive procurement awards to certified MBE vendors",0,9MGT,Support Services,9ADM,Departmental Support Services,Output,"Information is extracted from the Subcontracting, Procurement and Management System (SPAM).The Purchasing Office calculates this information on a quarterly basis and reports to the departments. For more information, contact Helen Lee in the Purchasing Office.",Quarterly,2016
ANML,9200,7905,"% of under 5,000 competitive procurement awards to certified WBE vendors",0,9MGT,Support Services,9ADM,Departmental Support Services,Result,"Information is extracted from the Subcontracting, Procurement and Management System (SPAM).The Purchasing Office calculates this information on a quarterly basis and reports to the departments. For more information, contact Helen Lee in the Purchasing Office",Quarterly,2016
ANML,9200,7906,Number of employee injuries,0,9MGT,Support Services,9ADM,Departmental Support Services,Output,Includes all lost time injuries as well as all medical only injuries (where an employee visited the doctor for the injury) that did not qualify as lost time.Numbers are taken from the David System (Workers' Compensation Database). The FREQUENCY ANALYSIS REPORT is run approximately three weeks after the last pay period of the reporting month. The Human Resources Department calculates the information and reports to the departments.,Monthly,2016
ANML,9200,7902,Lost Time Injury Rate,0,9MGT,Support Services,9ADM,Departmental Support Services,Result,"Injury data is generated from entries made by department personnel into a claims database provided by the City's third party administrator (currently known as the "David System"). Actual hours worked is from the productive/overtime report generated by Banner, the City's human resource information system.",Monthly,2016
ANML,9200,7901,Sick leave Utilization Rate,0,9MGT,Support Services,9ADM,Departmental Support Services,Result,"Entries made by department personnel into Banner, the City's Human Resources Information System.",Monthly,2016
ANML,9200,7900,Turnover Rate,0,9MGT,Support Services,9ADM,Departmental Support Services,Result,"Entries made by department personnel into Banner, the City's Human Resources Information System.",Quarterly,2016
ATD,2400,7538,Number of deadline/rule waivers requested,0,1SSP,One Stop Shop,6SPT,"Inspection, Review, and Support",Output,Work records,Quarterly,2016
ATD,2400,7539,Number of events withdrawn/denied,0,1SSP,One Stop Shop,6SPT,"Inspection, Review, and Support",Output,Work records,Quarterly,2016
ATD,2400,6932,Number of inspection violations for activities initiated through a citizen request,0,1SSP,One Stop Shop,6SPT,"Inspection, Review, and Support",Demand,Customer Service Requests,Quarterly,2016
ATD,2400,6933,Number of inspection violations for non-permitted activities initiated through a citizen request,0,1SSP,One Stop Shop,6SPT,"Inspection, Review, and Support",Demand,Customer Service Requests,Quarterly,2016
ATD,2400,7534,Number of potential utility conflicts identified at 90% completion prior to construction,0,1SSP,One Stop Shop,6SPT,"Inspection, Review, and Support",Output,Committee member reviews,Monthly,2016
ATD,2400,7536,Number of special event days,0,1SSP,One Stop Shop,6SPT,"Inspection, Review, and Support",Output,Work records,Quarterly,2016
ATD,2400,7535,Number of special events,0,1SSP,One Stop Shop,6SPT,"Inspection, Review, and Support",Output,Amanda system,Quarterly,2016
ATD,2400,7537,Number of waivers requested from City Council,0,1SSP,One Stop Shop,6SPT,"Inspection, Review, and Support",Output,City Council agenda,Quarterly,2016
ATD,2400,7540,Total dollar amount of fees waived,0,1SSP,One Stop Shop,6SPT,"Inspection, Review, and Support",Output,Fiscal note from RCAs,Quarterly,2016
ATD,2400,6931,Number of collisions reported in work zones within the right-of-way,0,1SSP,One Stop Shop,6SPT,"Inspection, Review, and Support",Output,APD,Monthly,2016
ATD,2400,7559,Percent of site plan reviews completed on time,0,1SSP,One Stop Shop,6SPT,"Inspection, Review, and Support",Result,Amanda system,Monthly,2016
ATD,2400,6897,Percent of maximum potential 'Core' parking meter revenue received,0,4PEM,Parking Enterprise,42PM,Parking Management,Result,Financial Services reports,Quarterly,2016
ATD,2400,8060,Valet enforcement site inspections per month,0,4PEM,Parking Enterprise,42PM,Parking Management,Output,,Quarterly,2016
ATD,2400,3246,Cost per dollar of revenue generated,0,4PEM,Parking Enterprise,42PM,Parking Management,Efficiency,Financial Services reports,Quarterly,2016
ATD,2400,3249,Parking revenue per enforcement officer,0,4PEM,Parking Enterprise,42PM,Parking Management,Efficiency,Financial Services reports,Quarterly,2016
ATD,2400,6798,"% of under $5,000 competitive procurement awards to certified MBE vendors",0,9MGT,Support Services,9ADM,Departmental Support Services,Result,,Quarterly,2016
ATD,2400,6799,"% of under $5,000 competitive procurement awards to certified WBE vendors",0,9MGT,Support Services,9ADM,Departmental Support Services,Result,,Quarterly,2016
ATD,2400,6797,Lost Time Injury Rate Per the Equivalent of 100 Employees,0,9MGT,Support Services,9ADM,Departmental Support Services,Result,"Injury data is generated from entries made by department personnel into a claims database provided by the City's third party administrator (currently known as the "David System"). Actual hours worked is from the productive/overtime report generated by Banner, the City's human resource information system.",Monthly,2016
ATD,2400,6800,Number of grievances and appeals per 100 employees,0,9MGT,Support Services,9ADM,Departmental Support Services,Result,,Monthly,2016
ATD,2400,6889,Number of trouble tickets entered per month,0,9MGT,Support Services,9ADM,Departmental Support Services,Demand,CTM,Monthly,2016
ATD,2400,6795,Employee Turnover Rate,0,9MGT,Support Services,9ADM,Departmental Support Services,Result,"Entries made by department personnel into Banner, the City's Human Resources Information System.",Quarterly,2016
ATD,2400,6802,Number of employee injuries,0,9MGT,Support Services,9ADM,Departmental Support Services,Output,,Monthly,2016
ATD,2400,6796,"Sick leave hours used per 1,000 hours",0,9MGT,Support Services,9ADM,Departmental Support Services,Result,"Entries made by department personnel into Banner, the City's Human Resources Information System.",Monthly,2016
ATD,2400,8056,Number of intersections where accessible pedestrian signals were installed,0,3TRC,Traffic Management,32SN,Arterial Management,Output,,Quarterly,2016
ATD,2400,7548,Number of pedestrian beacons installed,0,3TRC,Traffic Management,32SN,Arterial Management,Output,Work records,Annually,2016
ATD,2400,8057,Number of signalized intersection approaches where bike detection was installed,0,3TRC,Traffic Management,32SN,Arterial Management,Output,,Quarterly,2016
ATD,2400,7547,Number of traffic signals installed,0,3TRC,Traffic Management,32SN,Arterial Management,Output,Work records,Annually,2016
ATD,2400,7575,Percent of signal requests completed on time,0,3TRC,Traffic Management,32SN,Arterial Management,Result,CSR system / work records,Quarterly,2016
ATD,2400,8414,Percent of signals retimed,0,3TRC,Traffic Management,32SN,Arterial Management,Result,Work records,Annually,2016
ATD,2400,8189,Travel Time Reliability for Critical Arterials during Off-Peak hours,0,3TRC,Traffic Management,32SN,Arterial Management,Output,Travel time from JAMAR software.,Annually,2016
ATD,2400,8190,Travel Time Reliability for Critical Arterials during Peak hours,0,3TRC,Traffic Management,32SN,Arterial Management,Output,Travel time from JAMAR software.,Annually,2016
ATD,2400,7659,"Percent of residents ""satisfied"" or ""very satisfied"" with signal timing on major streets",1,3TRC,Traffic Management,32SN,Arterial Management,Result,Citizen Survey,Annually,2016
ATD,2400,8417,Percent of school zone indicator signals that received preventive maintenance,1,3TRC,Traffic Management,32SN,Arterial Management,Result,Work records,Annually,2016
ATD,2400,8416,Percent of traffic signals that received preventative maintenance,0,3TRC,Traffic Management,32SN,Arterial Management,Result,Work records,Annually,2016
ATD,2400,3212,Percent reduction in estimated vehicular travel time in corridors and intersections studied,1,3TRC,Traffic Management,32SN,Arterial Management,Result,Travel time from JAMAR software,Annually,2016
ATD,2400,8252,Miles of improved bike lanes,0,3TRC,Traffic Management,32BP,Bicycle Infrastructure Management,Output,"Calculated from updated bicycle facilities GIS inventory.  Include all facilities within COA Jurisdiction
",Quarterly,2016
ATD,2400,8264,Miles of new protected bicycle lanes,0,3TRC,Traffic Management,32BP,Bicycle Infrastructure Management,Output,Calculated from updated bicycle facilities GIS inventory.  Include all facilities withing COA Jurisdiction.,Quarterly,2016
ATD,2400,8253,Miles of new protected or buffered bicycle lanes,0,3TRC,Traffic Management,32BP,Bicycle Infrastructure Management,Output,Calculated from updated bicycle facilities GIS inventory.  Include all facilities withing COA Jurisdiction.,Quarterly,2016
ATD,2400,8266,"Percent of arterials with a bicycle lane, protected bicycle lane or shared used path",0,3TRC,Traffic Management,32BP,Bicycle Infrastructure Management,Result,GIS inventory and GIS street data attributes,Quarterly,2016
ATD,2400,7930,Percent of commuters that bicycle to work,0,3TRC,Traffic Management,32BP,Bicycle Infrastructure Management,Result,This is from the most recent American Community Survey 1 year city-wide dataset,Annually,2016
ATD,2400,8269,Percentage of commuters that bicycle to work in the central city,0,3TRC,Traffic Management,32BP,Bicycle Infrastructure Management,Result,"This is from the most recent American Community Survey, 5 year composite dataset.  The Central City is defined as from Mopac on the west, Manor Rd/Springdale Rd on the east, Oltorf on the south,  to 2222 on the north
",Annually,2016
ATD,2400,8265,"Total miles of arterials with bicycle lane, protected bicycle lane, or shared use path",0,3TRC,Traffic Management,32BP,Bicycle Infrastructure Management,Output,Calculated from updated bicycle facilities GIS inventory.  Include all facilities within COA Jurisdiction.,Quarterly,2016
ATD,2400,8272,Total new and improved on-street bicycle facilities,0,3TRC,Traffic Management,32BP,Bicycle Infrastructure Management,Output,"Calculated from updated bicycle facilities GIS inventory.  Include all facilities withing COA Jurisdiction. Integrate all bicycle facilities regardless of who builds.  
",Quarterly,2016
ATD,2400,7545,Percent of CSR requests completed on time,0,3TRC,Traffic Management,31TS,Traffic Signs,Result,"Work records, Maximo, 311 system records",Quarterly,2016
ATD,2400,6909,Number of new signs installed,0,3TRC,Traffic Management,31TS,Traffic Signs,Demand,Customer Service Requests and sign inventory,Quarterly,2016
ATD,2400,7576,Number of sign requests received,0,3TRC,Traffic Management,31TS,Traffic Signs,Demand,CSR system / work records,Quarterly,2016
ATD,2400,7546,Number of signs installed/maintained,0,3TRC,Traffic Management,31TS,Traffic Signs,Output,"Work records, Maximo, 311 system records 

",Quarterly,2016
ATD,2400,6913,Percent of signs that are in fair to excellent condition,1,3TRC,Traffic Management,31TS,Traffic Signs,Result,Estimate from inventory,Annually,2016
ATD,2400,8205,Number of all-way stop studies completed,0,3TRC,Traffic Management,31TE,Transportation Engineering,Output,Department records of number of all-way stop studies completed,Quarterly,2016
ATD,2400,3183,Number of citizen requests received,0,3TRC,Traffic Management,31TE,Transportation Engineering,Demand,Service request activity management report,Monthly,2016
ATD,2400,8198,Number of fatality studies completed,0,3TRC,Traffic Management,31TE,Transportation Engineering,Output,Department records of completed studies,Annually,2016
ATD,2400,7579,Number of traffic counts performed,0,3TRC,Traffic Management,31TE,Transportation Engineering,Demand,Work records,Monthly,2016
ATD,2400,6919,Number of traffic fatalities,0,3TRC,Traffic Management,31TE,Transportation Engineering,Output,APD,Annually,2016
ATD,2400,8201,"Number or reviews completed (license agreements, easement releases, ROW vacations)",0,3TRC,Traffic Management,31TE,Transportation Engineering,Output,Department records of number of license agreements reviewed,Quarterly,2016
ATD,2400,7573,Percent of citizen requests completed on time,0,3TRC,Traffic Management,31TE,Transportation Engineering,Result,Work records,Monthly,2016
ATD,2400,8204,Number of PHB studies completed,0,3TRC,Traffic Management,31TE,Transportation Engineering,Output,Department records of number of PHB studies completed,Quarterly,2016
ATD,2400,7555,Number of safety audits conducted at each accident occurrence,0,3TRC,Traffic Management,31TE,Transportation Engineering,Output,,Annually,2016
ATD,2400,8203,Number of traffic signal studies completed,0,3TRC,Traffic Management,31TE,Transportation Engineering,Output,Department records of number of traffic signal studies completed,Quarterly,2016
ATD,2400,7554,Percent of safety audits conducted at the top 25 crash accident locations,0,3TRC,Traffic Management,31TE,Transportation Engineering,Result,,Annually,2016
ATD,2400,8200,Percentage of fatality studies completed,1,3TRC,Traffic Management,31TE,Transportation Engineering,Result,"Department records of studies, number of reported crashes from APD",Annually,2016
ATD,2400,7542,Number of crosswalks maintained for ATD,0,3TRC,Traffic Management,33MK,Transportation Markings,Output,Work records,Quarterly,2016
ATD,2400,3225,Number of raised pavement markers (RPM's) installed,0,3TRC,Traffic Management,33MK,Transportation Markings,Output,Traffic Markings Database,Quarterly,2016
ATD,2400,7978,Number of crosswalks installed for Street & Bridge resurfacings,0,3TRC,Traffic Management,33MK,Transportation Markings,Output,Actuals,Quarterly,2016
ATD,2400,7977,Number of miles of markings installed for Street & Bridge resurfacings,0,3TRC,Traffic Management,33MK,Transportation Markings,Result,Unit measurement,Quarterly,2016
ATD,2400,7541,Number of miles of markings maintained for ATD,0,3TRC,Traffic Management,33MK,Transportation Markings,Output,Work records,Quarterly,2016
ATD,2400,7543,Number of specialty markings installed,0,3TRC,Traffic Management,33MK,Transportation Markings,Output,Work records,Quarterly,2016
ATD,2400,7655,"Percent of residents ""satisfied"" or ""very satisfied"" with traffic flow on major streets",1,3TRC,Traffic Management,,,Result,Citizen Survey,Annually,2016
ATD,2400,8071,Number of persons attending Air Quality outreach and education events,0,3TEN,Transportation Project Development,4SPL,Strategic Transportation Planning,Output,Attendance compiled by non-point source air quality staff at AQ outreach events and AQ trainings.,Quarterly,2016
ATD,2400,2698,Number of regional transportation requests completed,0,3TEN,Transportation Project Development,4SPL,Strategic Transportation Planning,Output,internal spreadsheet,Quarterly,2016
ATD,2400,6927,Number of transportation related meetings staffed and technical support provided,0,3TEN,Transportation Project Development,4SPL,Strategic Transportation Planning,Output,,Quarterly,2016
ATD,2400,8068,Percent of Non-Single Occupant Driver Means to Work - citywide,0,3TEN,Transportation Project Development,4SPL,Strategic Transportation Planning,Result,"US Census Bureau, Table B08301",Annually,2016
ATD,2400,2699,Percent of regional transportation requests completed within agreed-upon time frame,0,3TEN,Transportation Project Development,4SPL,Strategic Transportation Planning,Result,internal spreadsheet,Annually,2016
AVIAT,8100,1038,Number of active CIP and tenant projects managed,0,6ENG,Airport Planning & Development,6PDC,"Planning, Design and Construction",Output,Provided by Design & Construction.,Monthly,2016
AVIAT,8100,7213,Number of tons of Terminal solid waste recycled,0,6ENG,Airport Planning & Development,6PDC,"Planning, Design and Construction",Output,Monthly reports provided by Texas Disposal Service,Monthly,2016
AVIAT,8100,1046,Non-Airline revenue per enplaned passenger,1,7BUS,Business Services,7TMG,Airport Property Management,Result,"DOA Statistic Report: ""Parking"" + ""Other Concessions"" + ""Other Rentals and Fees""-""Parking"" which is one of three components under Non airline revenue, includes Parking Revenue (org: 9130, rev source code: 4241) and Off-Airport Parking Revenue (org: 9130, rev source code: 4360). ""Other Concessions"", another component of Non airline revenue, includes: Rental Cars (9120/4283), Food and Beverage (9120/4285), Advertising (9120/4284), Telephone (9120, 9160/4286), News and Gifts (9120/4287), Hotel (9120/4288), Golf Course (9120/4289), Airline Catering (9120/4351), Airplane Painting (9120/4298), Miscellaneous (9120/4352, 4187), Off Airport Rental Cars (9120/4359). ""Other Rentals and Fees"", is the third component under Non airline revenue. It consists of rental fees, such as taxi cab fees (9130/4503,4540,4541,4542,4543), fuel flowage and facility fees (9200/4346,4387), ramp use fees (9200/4349), building fees FBO's (9300,9800/4231) other building fees (9120,9150,9200,9600/4242), ground rent (9120,9200,9300,9400/4267),cargo facilities (9200/4347), GSEM user fees (9400/4263), Airport ID badges, fingerprints, etc. (9510/4138,4355,4357), and other fees (9510/4187,9600/4187,4057,4880) received from airport users and other entities. Aviation's accounting system is based on accrual reporting.  Accrued amounts for Parking and Other Concessions for the period are calculated and reported by Aviation's Accounting/Finance section.  YTD revenue from DXR is added to the period's accrued amount (determined by the Airport).  This sum gives an ""adjusted"" YTD balance, which is used for the calculation. ""Number of Enplaned Passengers"", based on actual ticketed passengers boarding each flight out of ABIA, as reported by the individual airlines.  The airlines submit a monthly report within the 1st ten days of each month for the previous month's activity to Aviation's Accounts Receivable.  A/R, is responsible for tracking and inputing this data for performance reporting calculations and generatin",Monthly,2016
AVIAT,8100,1044,Number of deplaned passengers,0,7BUS,Business Services,7TMG,Airport Property Management,Demand,DOA Statistic Report,Monthly,2016
AVIAT,8100,1045,Number of enplaned passengers,0,7BUS,Business Services,7TMG,Airport Property Management,Demand,DOA Statistic Report,Monthly,2016
AVIAT,8100,1029,Net parking income/loss,0,7BUS,Business Services,5PRK,Parking,Result,Fund Summary and A104 Reports,Monthly,2016
AVIAT,8100,7214,Parking revenue per enplaned passenger,0,7BUS,Business Services,5PRK,Parking,Efficiency,Aviation financial reports and DOA statistics,Monthly,2016
AVIAT,8100,7763,ARFF Costs per Operation,0,4FOP,"Facilities Management, Operations and Airport Security",5ARF,Air/Fire Rescue (ARFF),Efficiency,Aviation financial reports and DOA statistics,Monthly,2016
AVIAT,8100,1023,Number of ARFF responses,0,4FOP,"Facilities Management, Operations and Airport Security",5ARF,Air/Fire Rescue (ARFF),Output,Provided by ARFF; is the same as measure id 1472 in the Austin Fire Department,Quarterly,2016
AVIAT,8100,7753,Passenger Boarding Bridge Maintenance Cost,0,4FOP,"Facilities Management, Operations and Airport Security",6AIR,Airline Maintenance,Efficiency,Data Provided by Airline Maintenance Section,Monthly,2016
AVIAT,8100,8142,Percentage of up-time for the baggage handling system (BHS),0,4FOP,"Facilities Management, Operations and Airport Security",6AIR,Airline Maintenance,Efficiency,The baggage handling system maintenance activities and operational / non-operational times are reported in the Maximo asset management system and are available via system reports/queries.,Monthly,2016
AVIAT,8100,1033,Airport security costs per passenger,0,4FOP,"Facilities Management, Operations and Airport Security",5SEC,Airport Security,Efficiency,Aviation financial reports and DOA statistics,Monthly,2016
AVIAT,8100,7764,Security Violations Issued,0,4FOP,"Facilities Management, Operations and Airport Security",5SEC,Airport Security,Output,OPSEC Monthly Report - Security Warnings Tab,Monthly,2016
AVIAT,8100,1003,Airside maintenance costs per acre maintained,0,4FOP,"Facilities Management, Operations and Airport Security",4ARR,Airside Maintenance,Efficiency,Aviation financial reports and the total acreage maintained (provided by Field Maintenance),Monthly,2016
AVIAT,8100,1002,Number of incidents of noncompliance with FAA Part 139 during federal inspections,0,4FOP,"Facilities Management, Operations and Airport Security",4ARR,Airside Maintenance,Result,FAA Inspection Report,Annually,2016
